t,S,E,I,R
0,9990,0,10,0
1,9979,11,10,0
2,9974,13,13,0
3,9965,20,15,0
4,9953,29,18,0
5,9939,40,20,1
6,9930,45,24,1
7,9922,50,27,1
8,9915,52,30,3
9,9908,51,37,4
10,9898,55,40,7
11,9889,56,46,9
12,9879,60,51,10
13,9871,59,56,14
14,9861,55,69,15
15,9845,60,74,21
16,9830,68,78,24
17,9816,74,83,27
18,9802,77,89,32
19,9784,81,100,35
20,9769,84,106,41
21,9755,78,120,47
22,9730,86,130,54
23,9711,93,135,61
24,9684,108,143,65
25,9662,115,153,70
26,9635,125,163,77
27,9613,125,178,84
28,9584,138,185,93
29,9553,152,194,101
30,9528,147,215,110
31,9496,153,231,120
32,9461,165,244,130
33,9429,171,259,141
34,9387,192,266,155
35,9345,211,274,170
36,9309,214,295,182
37,9273,222,304,201
38,9233,226,326,215
39,9188,240,341,231
40,9146,256,350,248
41,9097,266,375,262
42,9043,276,396,285
43,8995,280,419,306
44,8934,299,442,325
45,8877,328,450,345
46,8812,348,469,371
47,8748,360,494,398
48,8696,340,546,418
49,8626,351,581,442
50,8538,382,612,468
51,8442,418,639,501
52,8351,442,677,530
53,8243,483,714,560
54,8144,501,755,600
55,8043,523,804,630
56,7917,565,847,671
57,7804,595,887,714
58,7698,611,933,758
59,7561,660,975,804
60,7426,702,1013,859
61,7296,749,1048,907
62,7175,762,1102,961
63,7033,781,1165,1021
64,6877,817,1216,1090
65,6715,849,1295,1141
66,6557,878,1374,1191
67,6394,909,1452,1245
68,6213,954,1523,1310
69,6052,980,1585,1383
70,5881,1009,1636,1474
71,5725,1008,1712,1555
72,5534,1050,1783,1633
73,5357,1101,1828,1714
74,5170,1122,1910,1798
75,5005,1122,1985,1888
76,4825,1137,2059,1979
77,4648,1130,2143,2079
78,4465,1122,2220,2193
79,4270,1148,2264,2318
80,4062,1186,2330,2422
81,3879,1195,2371,2555
82,3698,1181,2458,2663
83,3520,1176,2507,2797
84,3338,1178,2566,2918
85,3152,1187,2612,3049
86,2974,1194,2652,3180
87,2802,1204,2675,3319
88,2625,1193,2753,3429
89,2470,1159,2797,3574
90,2322,1119,2846,3713
91,2174,1122,2847,3857
92,2036,1079,2887,3998
93,1891,1047,2920,4142
94,1741,1047,2930,4282
95,1619,1014,2950,4417
96,1509,973,2947,4571
97,1406,922,2957,4715
98,1279,918,2960,4843
99,1186,880,2944,4990
100,1095,856,2898,5151
101,1014,821,2868,5297
102,931,794,2831,5444
103,860,760,2805,5575
104,783,725,2784,5708
105,718,682,2757,5843
106,640,644,2743,5973
107,568,610,2709,6113
108,508,576,2650,6266
109,459,527,2627,6387
110,409,491,2573,6527
111,365,463,2493,6679
112,317,448,2447,6788
113,280,417,2371,6932
114,243,390,2299,7068
115,222,352,2224,7202
116,204,312,2165,7319
117,178,292,2108,7422
118,157,265,2044,7534
119,141,247,1976,7636
120,128,221,1926,7725
121,118,203,1860,7819
122,107,181,1804,7908
123,99,166,1739,7996
124,89,152,1671,8088
125,78,145,1603,8174
126,76,124,1542,8258
127,71,99,1499,8331
128,61,92,1449,8398
129,56,84,1389,8471
130,49,81,1334,8536
131,44,71,1277,8608
132,42,62,1225,8671
133,36,56,1162,8746
134,35,47,1120,8798
135,33,45,1074,8848
136,31,37,1029,8903
137,30,32,976,8962
138,28,30,939,9003
139,27,26,902,9045
140,26,26,853,9095
141,25,25,808,9142
142,22,25,776,9177
143,22,23,742,9213
144,22,17,712,9249
145,21,15,677,9287
146,21,13,641,9325
147,20,13,609,9358
148,20,10,575,9395
149,20,10,537,9433
150,20,10,498,9472
151,20,8,471,9501
152,19,7,458,9516
153,17,8,437,9538
154,17,7,417,9559
155,17,7,405,9571
156,17,5,385,9593
157,17,4,360,9619
158,13,8,343,9636
159,11,9,322,9658
160,11,8,311,9670
161,10,8,300,9682
162,10,8,280,9702
163,10,7,266,9717
164,10,7,251,9732
165,10,5,243,9742
166,8,7,231,9754
167,7,8,221,9764
168,7,7,214,9772
169,5,7,199,9789
170,5,6,191,9798
171,5,4,188,9803
172,4,5,181,9810
173,4,4,172,9820
174,3,4,168,9825
175,3,3,163,9831
176,2,2,160,9836
177,2,1,158,9839
178,2,1,153,9844
179,2,1,145,9852
180,2,1,142,9855
181,2,1,139,9858
182,2,1,134,9863
183,2,1,131,9866
184,2,1,120,9877
185,2,1,112,9885
186,2,1,108,9889
187,2,1,103,9894
188,2,1,100,9897
189,2,0,95,9903
190,2,0,91,9907
191,2,0,89,9909
192,2,0,86,9912
193,2,0,81,9917
194,2,0,76,9922
195,2,0,74,9924
196,2,0,71,9927
197,2,0,68,9930
198,2,0,65,9933
199,2,0,60,9938
200,2,0,60,9938
201,2,0,56,9942
202,2,0,51,9947
203,2,0,47,9951
204,2,0,40,9958
205,2,0,39,9959
206,2,0,37,9961
207,2,0,35,9963
208,2,0,33,9965
209,2,0,30,9968
210,2,0,29,9969
211,2,0,28,9970
212,2,0,26,9972
213,2,0,26,9972
214,2,0,24,9974
215,2,0,22,9976
216,2,0,22,9976
217,2,0,21,9977
218,2,0,19,9979
219,2,0,19,9979
220,2,0,18,9980
221,2,0,17,9981
222,2,0,16,9982
223,2,0,15,9983
224,2,0,14,9984
225,2,0,13,9985
226,2,0,13,9985
227,2,0,12,9986
228,2,0,12,9986
229,2,0,11,9987
230,2,0,11,9987
231,2,0,10,9988
232,2,0,9,9989
233,2,0,9,9989
234,2,0,9,9989
235,2,0,9,9989
236,2,0,9,9989
237,2,0,8,9990
238,2,0,8,9990
239,2,0,5,9993
240,2,0,5,9993
241,2,0,5,9993
242,2,0,5,9993
243,2,0,5,9993
244,2,0,4,9994
245,2,0,4,9994
246,2,0,1,9997
247,2,0,0,9998
